retweet_count,favorite_count,length,user_followers_count,user_friends_count,user_statuses_count,user_verified,statuses/followers_count,friends/followers_count,Final Label
11,69,138,5991,958,70260,0,11.73,0.16,0
2,3,117,562,569,3938,0,7.01,1.01,0
1,4,106,4843,567,15146,1,3.13,0.12,0
0,4,133,381,528,9178,0,24.09,1.39,1
0,0,111,512,452,2371,0,4.63,0.88,1
0,0,110,127,2,111653,0,879.1574803,0.015748031,1
0,0,127,2623,4616,14105,0,5.377430423,1.759817003,1
0,0,88,2643,365,58320,0,22.06583428,0.138100643,1
0,0,110,1461,3150,7175,0,4.911019849,2.156057495,0
0,0,125,5532,5699,148021,0,26.75723066,1.030187997,0
0,0,121,75,337,382,0,5.093333333,4.493333333,0
0,0,137,39,20,1965,0,50.38461538,0.512820513,1
0,0,128,4452,427,168082,0,37.75426774,0.09591195,1
0,0,73,3892,27,224635,0,57.71711202,0.006937307,1
0,0,77,69,88,4562,0,66.11594203,1.275362319,1
0,0,133,497,942,11213,0,22.56136821,1.895372233,1
0,0,127,11135,11194,12494,0,1.122047598,1.005298608,0
0,0,135,89,199,3131,0,35.17977528,2.235955056,0
0,0,128,418,904,1264,0,3.023923445,2.162679426,1
0,0,139,1083,1300,15709,0,14.50507849,1.200369344,0
0,0,72,416,613,1160,0,2.788461538,1.473557692,1
0,2,74,2385,3526,1329,0,0.557232704,1.478406709,0
0,0,84,39107,1377,65016,1,1.662515662,0.035211088,1
2,7,122,151047,1863,99557,1,0.659112727,0.012333909,1
0,0,106,1539,2396,21831,0,14.18518519,1.556855101,0
0,0,106,229,270,14062,0,61.40611354,1.179039301,0
0,1,108,80046,771,114972,1,1.436324114,0.009631962,1
0,0,132,1932,3038,33948,0,17.57142857,1.572463768,1
0,0,67,8100,18,21560,0,2.661728395,0.002222222,0
1,1,119,819,2290,14388,0,17.56776557,2.796092796,0
0,0,136,411,102,9284,0,22.58880779,0.248175182,0
0,0,93,2863,1877,16997,0,5.936779602,0.655606008,1
2,2,95,31681,1922,78463,0,2.476657934,0.060667277,0
0,0,114,728,136,909,0,1.248626374,0.186813187,1
7,1,136,18361,2062,14552,1,0.792549425,0.112303251,0
1,1,111,721,25,31124,0,43.16782247,0.034674064,1
0,0,79,370,99,868657,0,2347.721622,0.267567568,1
0,0,86,2643,365,58320,0,22.06583428,0.138100643,1
0,0,136,427,274,4488,0,10.51053864,0.641686183,1
1,1,46,1643,1507,3241,0,1.972611077,0.917224589,1
0,0,101,49559,6402,70910,0,1.430819831,0.129179362,1
0,0,80,64,17,5801,0,90.640625,0.265625,1
0,0,87,349,927,3909,0,11.20057307,2.656160458,0
0,0,129,23505,20776,432369,0,18.39476707,0.883897043,1
0,0,127,2514,95,107673,0,42.82935561,0.037788385,1
0,0,52,95,133,12655,0,133.2105263,1.4,1
1,2,77,2899,3612,25483,0,8.790272508,1.245946878,0
0,0,109,1203,827,50027,0,41.58520366,0.687448047,1
0,0,70,2607,1506,328872,0,126.1495972,0.577675489,1
0,1,131,11200,11270,67385,0,6.016517857,1.00625,1
0,0,89,2723,1889,463992,0,170.3973559,0.693720162,0
0,0,118,2490,1590,16945,0,6.805220884,0.638554217,1
0,0,139,1983,1152,27941,0,14.09026727,0.580937973,1
0,0,102,348,3425,1602,0,4.603448276,9.841954023,1
0,2,120,194,264,3617,0,18.6443299,1.360824742,0
0,0,80,364,1023,9045,0,24.8489011,2.81043956,1
0,0,140,1050,1073,262935,0,250.4142857,1.021904762,0
1,5,123,34353,6072,14636,0,0.426047216,0.176753122,1
0,0,138,1142,2012,160213,0,140.2915937,1.761821366,1
0,1,112,60,69,2795,0,46.58333333,1.15,1
0,0,132,10627,730,27345,0,2.573162699,0.068692952,1
0,0,123,172,258,8436,0,49.04651163,1.5,1
2,1,91,12327,9557,226977,0,18.41299586,0.775290014,1
0,0,80,30,265,1411,0,47.03333333,8.833333333,1
0,0,100,1436,1139,71990,0,50.13231198,0.793175487,0
0,1,103,162,252,9945,0,61.38888889,1.555555556,0
0,1,103,859,1513,1019,0,1.186263097,1.761350407,0
0,1,138,14818,13301,55507,0,3.745917128,0.897624511,1
0,0,132,246,40,18625,0,75.71138211,0.162601626,1
0,0,115,941,671,41069,0,43.64399575,0.713071201,1
0,0,126,20,30,3355,0,167.75,1.5,1
0,0,118,880,1040,76887,0,87.37159091,1.181818182,0
0,1,94,122,217,2628,0,21.54098361,1.778688525,1
0,0,103,49,49,18848,0,384.6530612,1,1
0,0,131,3786,3991,44116,0,11.65240359,1.054146857,1
0,0,92,1985,1467,69967,0,35.24785894,0.739042821,1
